"","artist_name","Valence","danceability","energy","loudness","speechiness","acousticness","liveness","tempo","track_name","album_name","album_release_year"
"1","Taylor Swift",0.685,0.757,0.61,-4.84,0.0327,0.00942,0.367,116.998,"Welcome To New York (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"2","Taylor Swift",0.701,0.733,0.733,-5.376,0.067,0.0885,0.168,96.057,"Blank Space (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"3","Taylor Swift",0.305,0.511,0.822,-4.785,0.0397,0.000421,0.0899,94.868,"Style (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"4","Taylor Swift",0.206,0.545,0.885,-5.968,0.0447,0.000537,0.385,92.021,"Out Of The Woods (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"5","Taylor Swift",0.52,0.588,0.721,-5.579,0.0317,0.000656,0.131,96.997,"All You Had To Do Was Stay (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"6","Taylor Swift",0.917,0.636,0.808,-5.693,0.0729,0.0121,0.359,160.058,"Shake It Off (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"7","Taylor Swift",0.539,0.67,0.858,-6.528,0.0439,0.00354,0.0687,118.009,"I Wish You Would (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"8","Taylor Swift",0.363,0.618,0.683,-6.438,0.194,0.0362,0.305,169.971,"Bad Blood (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"9","Taylor Swift",0.514,0.589,0.674,-7.48,0.0656,0.0436,0.112,139.985,"Wildest Dreams (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"10","Taylor Swift",0.538,0.758,0.691,-5.798,0.0515,0.00196,0.0939,119.997,"How You Get The Girl (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"11","Taylor Swift",0.0567,0.471,0.509,-8.796,0.0355,0.316,0.0673,144.071,"This Love (Taylor’s Version)","1989 (Taylor's Version) [Deluxe]",2023
"12","Taylor Swift",0.652,0.582,0.788,-5.358,0.0445,0.0999,0.115,160.027,"I Know Places (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"13","Taylor Swift",0.258,0.772,0.391,-8.892,0.0293,0.25,0.0981,103.955,"Clean (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"14","Taylor Swift",0.385,0.464,0.705,-5.97,0.0434,0.00976,0.209,183.892,"Wonderland (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"15","Taylor Swift",0.477,0.363,0.498,-9.473,0.0755,0.61,0.112,84.68,"You Are In Love (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"16","Taylor Swift",0.698,0.649,0.846,-5.958,0.0602,0.00675,0.0824,121.978,"New Romantics (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"17","Taylor Swift",0.328,0.591,0.412,-13.27,0.0863,0.309,0.0608,155.875,"""Slut!"" (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]",2023
"18","Taylor Swift",0.164,0.633,0.551,-8.297,0.0341,0.066,0.127,109.95,"Say Don't Go (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]",2023
"19","Taylor Swift",0.0831,0.8,0.501,-9.332,0.034,0.16,0.0874,110.013,"Now That We Don't Talk (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]",2023
"20","Taylor Swift",0.323,0.701,0.625,-8.804,0.036,0.207,0.105,118.036,"Suburban Legends (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]",2023
"21","Taylor Swift",0.191,0.595,0.656,-7.343,0.037,0.041,0.122,99.994,"Is It Over Now? (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]",2023
"22","Taylor Swift",0.174,0.602,0.648,-6.905,0.103,0.0104,0.217,170.091,"Bad Blood (feat. Kendrick Lamar) (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"23","Taylor Swift",0.674,0.761,0.607,-4.83,0.0312,0.00961,0.367,116.98,"Welcome To New York (Taylor's Version)","1989 (Taylor's Version)",2023
"24","Taylor Swift",0.755,0.737,0.725,-5.417,0.0641,0.0976,0.174,96.012,"Blank Space (Taylor's Version)","1989 (Taylor's Version)",2023
